Công Cụ Phân Tích Từ Khóa Miễn Phí - Keyword Planner Free

STT	Keyword	Volume	Length	Trend	Trend Data	Difficulty	Competition	Avg.CPC	KW Type	Question
22	Upgrade VIP to view	1,300	3	320,320,390,390,260,2400,1300,1600,1300,2400,4400,1900,1600	320;320;390;390;260;2400;1300;1600;1300;2400;4400;1900;1600	39	16	0.34	broad	
23	Upgrade VIP to view	1,300	4	1600,880,390,210,210,210,210,1000,2900,3600,2900,1000,1000	1600;880;390;210;210;210;210;1000;2900;3600;2900;1000;1000	64	100	0.10	phrase	
24	Upgrade VIP to view	1,300	4	1600,880,390,210,210,210,210,1000,2900,3600,2900,1000,1000	1600;880;390;210;210;210;210;1000;2900;3600;2900;1000;1000	64	100	0.10	phrase	
25	Upgrade VIP to view	1,000	2	1000,1000,1000,880,880,1000,720,1300,1300,1300,1000,880,880	1000;1000;1000;880;880;1000;720;1300;1300;1300;1000;880;880	55	51	0.27	exact	
26	Upgrade VIP to view	1,000	8	1600,590,480,210,260,260,320,1600,2900,2400,1900,720,590	1600;590;480;210;260;260;320;1600;2900;2400;1900;720;590	46	100	0.09	phrase	
27	Upgrade VIP to view	1,000	8	1600,590,480,210,260,260,320,1600,2900,2400,1900,720,590	1600;590;480;210;260;260;320;1600;2900;2400;1900;720;590	46	100	0.09	phrase	
28	Upgrade VIP to view	1,000	4	1300,480,260,170,210,210,210,880,1600,2900,2900,1000,880	1300;480;260;170;210;210;210;880;1600;2900;2900;1000;880	64	100	0.14	phrase	
29	Upgrade VIP to view	1,000	4	1300,480,260,170,210,210,210,880,1600,2900,2900,1000,880	1300;480;260;170;210;210;210;880;1600;2900;2900;1000;880	64	100	0.14	phrase	
30	Upgrade VIP to view	1,000	5	1600,720,590,390,480,480,390,1600,3600,1900,1600,590,480	1600;720;590;390;480;480;390;1600;3600;1900;1600;590;480	59	100	0.10	phrase	
31	Upgrade VIP to view	1,000	5	1600,720,590,390,480,480,390,1600,3600,1900,1600,590,480	1600;720;590;390;480;480;390;1600;3600;1900;1600;590;480	59	100	0.10	phrase	
32	Upgrade VIP to view	880	5	1900,1000,880,2900,2900,880,40,110,140,260,170,110,140	1900;1000;880;2900;2900;880;40;110;140;260;170;110;140	26	36	0.21	phrase	
33	Upgrade VIP to view	880	3	880,390,480,320,390,480,390,720,1600,1900,1600,1000,1000	880;390;480;320;390;480;390;720;1600;1900;1600;1000;1000	55	100	0.11	exact	
34	Upgrade VIP to view	880	4	1300,720,260,170,210,260,170,880,1900,2400,1600,590,590	1300;720;260;170;210;260;170;880;1900;2400;1600;590;590	51	100	0.10	phrase	
35	Upgrade VIP to view	880	4	1300,720,260,170,210,260,170,880,1900,2400,1600,590,590	1300;720;260;170;210;260;170;880;1900;2400;1600;590;590	51	100	0.10	phrase	
36	Upgrade VIP to view	880	5	880,880,880,720,880,880,480,1000,1000,1000,1300,880,1000	880;880;880;720;880;880;480;1000;1000;1000;1300;880;1000	47	100	0.39	phrase	
37	Upgrade VIP to view	880	5	880,480,390,590,480,880,320,880,1300,1600,1300,590,590	880;480;390;590;480;880;320;880;1300;1600;1300;590;590	47	100	0.10	phrase	
38	Upgrade VIP to view	880	4	720,260,170,140,170,210,210,880,1600,2400,1900,720,880	720;260;170;140;170;210;210;880;1600;2400;1900;720;880	51	100	0.07	phrase	
39	Upgrade VIP to view	880	5	1300,1000,880,720,880,880,390,880,1000,1300,1300,880,1000	1300;1000;880;720;880;880;390;880;1000;1300;1300;880;1000	47	100	0.17	phrase	
40	Upgrade VIP to view	880	5	880,480,390,590,480,880,320,880,1300,1600,1300,590,590	880;480;390;590;480;880;320;880;1300;1600;1300;590;590	47	100	0.10	phrase	
41	Upgrade VIP to view	720	1	260,260,260,260,260,320,260,590,880,1300,1300,1300,1300	260;260;260;260;260;320;260;590;880;1300;1300;1300;1300	34	7	0.02	broad	
42	Upgrade VIP to view	720	7	1900,2400,1900,1600,590,170,50,210,210,320,90,170,20	1900;2400;1900;1600;590;170;50;210;210;320;90;170;20	9	7	0.02	broad	
43	Upgrade VIP to view	720	5	1300,480,590,320,390,320,390,720,1900,1600,590,320,320	1300;480;590;320;390;320;390;720;1900;1600;590;320;320	49	100	0.09	phrase	
44	Upgrade VIP to view	720	4	1300,480,590,320,390,320,390,720,1900,1600,590,320,320	1300;480;590;320;390;320;390;720;1900;1600;590;320;320	53	100	0.09	phrase	
45	Upgrade VIP to view	720	5	1300,480,590,320,390,320,390,720,1900,1600,590,320,320	1300;480;590;320;390;320;390;720;1900;1600;590;320;320	49	100	0.09	phrase	
46	Upgrade VIP to view	720	6	1000,590,720,590,590,480,320,720,1600,1300,480,260,210	1000;590;720;590;590;480;320;720;1600;1300;480;260;210	44	100	0.09	phrase	
47	Upgrade VIP to view	720	4	880,720,720,590,590,390,320,720,1000,1300,880,720,720	880;720;720;590;590;390;320;720;1000;1300;880;720;720	53	100	0.09	phrase	
48	Upgrade VIP to view	720	4	1000,390,320,210,210,210,210,590,1600,1600,1300,590,590	1000;390;320;210;210;210;210;590;1600;1600;1300;590;590	53	100	0.12	phrase	
49	Upgrade VIP to view	590	4	590,390,390,260,480,260,260,480,880,1000,880,590,480	590;390;390;260;480;260;260;480;880;1000;880;590;480	29	25	0.07	exact	
50	Upgrade VIP to view	590	3	480,480,480,390,480,590,390,720,590,720,590,590,480	480;480;480;390;480;590;390;720;590;720;590;590;480	28	8	0.06	exact	
51	Upgrade VIP to view	590	4	720,390,390,320,260,210,260,590,1300,1300,720,390,390	720;390;390;320;260;210;260;590;1300;1300;720;390;390	54	100	0.09	phrase	
52	Upgrade VIP to view	590	3	590,390,390,390,480,480,480,1000,1300,1000,720,480,480	590;390;390;390;480;480;480;1000;1300;1000;720;480;480	58	100	0.10	phrase	
53	Upgrade VIP to view	590	3	590,390,390,390,480,480,480,1000,1300,1000,720,480,480	590;390;390;390;480;480;480;1000;1300;1000;720;480;480	58	100	0.10	phrase	
54	Upgrade VIP to view	590	2	590,390,390,390,480,480,480,1000,1300,1000,720,480,480	590;390;390;390;480;480;480;1000;1300;1000;720;480;480	62	100	0.10	phrase	
55	Upgrade VIP to view	590	3	720,480,480,480,390,390,260,590,880,720,880,590,590	720;480;480;480;390;390;260;590;880;720;880;590;590	58	100	0.19	broad	
56	Upgrade VIP to view	590	4	590,260,260,720,880,390,320,590,720,880,720,480,590	590;260;260;720;880;390;320;590;720;880;720;480;590	54	100	0.20	phrase	
57	Upgrade VIP to view	590	5	880,260,110,90,90,70,90,390,1600,1900,1600,480,480	880;260;110;90;90;70;90;390;1600;1900;1600;480;480	50	100	0.09	broad	
58	Upgrade VIP to view	590	4	880,390,260,170,170,170,110,480,720,1600,1300,720,720	880;390;260;170;170;170;110;480;720;1600;1300;720;720	54	100	0.09	phrase	
59	Upgrade VIP to view	590	5	480,320,390,590,320,1300,480,1000,1000,720,720,260,320	480;320;390;590;320;1300;480;1000;1000;720;720;260;320	50	100	0.08	phrase	
60	Upgrade VIP to view	480	3	590,320,260,260,210,210,170,480,1300,1300,1000,390,390	590;320;260;260;210;210;170;480;1300;1300;1000;390;390	59	100	0.10	phrase	
61	Upgrade VIP to view	480	3	590,320,260,260,210,210,170,480,1300,1300,1000,390,390	590;320;260;260;210;210;170;480;1300;1300;1000;390;390	59	100	0.10	phrase	
62	Upgrade VIP to view	480	8	1000,390,210,90,140,110,90,390,720,1000,880,320,260	1000;390;210;90;140;110;90;390;720;1000;880;320;260	39	100	0.08	phrase	
63	Upgrade VIP to view	480	8	1000,390,210,90,140,110,90,390,720,1000,880,320,260	1000;390;210;90;140;110;90;390;720;1000;880;320;260	39	100	0.08	phrase	
64	Upgrade VIP to view	480	2	480,320,320,260,210,210,260,390,720,1300,720,480,480	480;320;320;260;210;210;260;390;720;1300;720;480;480	64	100	0.17	broad	
65	Upgrade VIP to view	480	5	1600,480,590,1300,1300,480,10,20,30,90,110,40,40	1600;480;590;1300;1300;480;10;20;30;90;110;40;40	50	98	1.03	phrase	
66	Upgrade VIP to view	390	1	390,390,390,390,390,390,170,390,390,390,480,480,480	390;390;390;390;390;390;170;390;390;390;480;480;480	51	47	0.02	broad	
67	Upgrade VIP to view	390	1	70,20,30,30,30,70,110,480,880,1300,880,720,590	70;20;30;30;30;70;110;480;880;1300;880;720;590	68	97	0.10	broad	
68	Upgrade VIP to view	390	8	590,320,210,170,110,170,110,480,720,1000,720,390,390	590;320;210;170;110;170;110;480;720;1000;720;390;390	39	100	0.09	phrase	
69	Upgrade VIP to view	390	5	390,260,260,210,210,170,140,320,720,590,590,480,390	390;260;260;210;210;170;140;320;720;590;590;480;390	52	100	0.09	phrase	
70	Upgrade VIP to view	390	4	390,480,390,390,320,390,170,390,480,590,590,480,390	390;480;390;390;320;390;170;390;480;590;590;480;390	56	100	0.35	broad	
71	Upgrade VIP to view	390	4	320,140,140,110,90,140,90,480,720,1000,880,260,210	320;140;140;110;90;140;90;480;720;1000;880;260;210	56	100	0.09	phrase	
72	Upgrade VIP to view	320	1	40,30,20,30,40,50,70,140,390,880,880,590,720	40;30;20;30;40;50;70;140;390;880;880;590;720	41	14	0.02	broad	
73	Upgrade VIP to view	320	7	320,210,260,1300,110,210,480,140,90,140,90,110,260	320;210;260;1300;110;210;480;140;90;140;90;110;260	24	40	0.05	phrase	
74	Upgrade VIP to view	320	3	260,260,260,260,390,320,170,390,320,320,320,260,260	260;260;260;260;390;320;170;390;320;320;320;260;260	31	11	0.35	phrase	
75	Upgrade VIP to view	320	4	480,260,210,210,210,140,110,260,590,720,480,390,390	480;260;210;210;210;140;110;260;590;720;480;390;390	57	100	0.08	exact	
76	Upgrade VIP to view	320	3	480,260,210,210,210,140,110,260,590,720,480,390,390	480;260;210;210;210;140;110;260;590;720;480;390;390	61	100	0.08	exact	
77	Upgrade VIP to view	320	2	480,260,210,170,170,170,140,320,720,720,480,320,320	480;260;210;170;170;170;140;320;720;720;480;320;320	65	100	0.08	exact	
78	Upgrade VIP to view	320	3	320,140,210,110,140,140,140,390,880,720,480,210,170	320;140;210;110;140;140;140;390;880;720;480;210;170	61	100	0.12	exact	
79	Upgrade VIP to view	320	1	320,260,260,210,260,170,90,320,390,480,480,320,260	320;260;260;210;260;170;90;320;390;480;480;320;260	63	80	0.11	broad	
80	Upgrade VIP to view	320	5	260,110,70,20,20,30,30,170,590,1300,880,320,170	260;110;70;20;20;30;30;170;590;1300;880;320;170	53	100	0.08	phrase	
81	Upgrade VIP to view	320	6	480,260,260,110,170,140,140,320,720,880,480,320,210	480;260;260;110;170;140;140;320;720;880;480;320;210	48	100	0.08	phrase	
82	Upgrade VIP to view	320	7	590,260,110,90,90,70,70,90,320,880,720,320,320	590;260;110;90;90;70;70;90;320;880;720;320;320	28	52	0.04	phrase	
83	Upgrade VIP to view	320	2	720,320,210,170,170,110,110,260,590,720,480,260,210	720;320;210;170;170;110;110;260;590;720;480;260;210	65	100	0.10	phrase	
84	Upgrade VIP to view	320	4	260,260,260,320,880,390,260,260,260,260,170,140,210	260;260;260;320;880;390;260;260;260;260;170;140;210	57	100	0.15	phrase	
85	Upgrade VIP to view	320	3	390,260,260,170,170,140,140,260,480,720,390,320,320	390;260;260;170;170;140;140;260;480;720;390;320;320	61	100	0.17	broad	
86	Upgrade VIP to view	320	6	390,170,170,170,140,110,170,260,590,720,480,390,320	390;170;170;170;140;110;170;260;590;720;480;390;320	48	100	0.07	phrase	
87	Upgrade VIP to view	320	4	390,260,140,110,70,70,70,260,590,720,720,320,320	390;260;140;110;70;70;70;260;590;720;720;320;320	57	100	0.10	phrase	
88	Upgrade VIP to view	320	7	40,30,20,10,10,10,10,140,390,1000,1000,480,390	40;30;20;10;10;10;10;140;390;1000;1000;480;390	44	100	0.09	phrase	
89	Upgrade VIP to view	320	7	50,70,40,20,20,40,20,140,260,1000,880,720,590	50;70;40;20;20;40;20;140;260;1000;880;720;590	44	100	0.09	phrase	
90	Upgrade VIP to view	320	6	320,110,50,40,40,40,50,210,590,1000,720,260,210	320;110;50;40;40;40;50;210;590;1000;720;260;210	48	98	0.07	broad	
91	Upgrade VIP to view	260	3	320,210,90,70,40,50,40,170,320,880,720,320,480	320;210;90;70;40;50;40;170;320;880;720;320;480	62	100	0.08	phrase	
92	Upgrade VIP to view	260	5	720,260,320,590,720,210,20,50,90,140,70,70,70	720;260;320;590;720;210;20;50;90;140;70;70;70	38	55	1.16	phrase	
93	Upgrade VIP to view	260	3	390,260,140,70,70,70,40,170,320,720,720,320,320	390;260;140;70;70;70;40;170;320;720;720;320;320	62	100	0.09	exact	
94	Upgrade VIP to view	260	2	390,260,210,210,170,140,70,210,390,480,320,320,210	390;260;210;210;170;140;70;210;390;480;320;320;210	66	100	0.08	exact	
95	Upgrade VIP to view	260	3	320,210,90,70,40,50,40,170,320,880,720,320,480	320;210;90;70;40;50;40;170;320;880;720;320;480	62	100	0.08	exact	
96	Upgrade VIP to view	260	1	10,10,10,10,10,40,50,210,480,880,720,590,480	10;10;10;10;10;40;50;210;480;880;720;590;480	69	96	0.10	broad	
97	Upgrade VIP to view	260	9	30,20,30,50,170,260,320,320,390,480,480,390,480	30;20;30;50;170;260;320;320;390;480;480;390;480	5	6	0.02	phrase	
98	Upgrade VIP to view	260	5	390,210,260,140,170,110,110,260,480,590,320,210,210	390;210;260;140;170;110;110;260;480;590;320;210;210	53	100	0.10	phrase	
99	Upgrade VIP to view	260	4	170,210,170,320,320,260,140,320,390,320,320,320,260	170;210;170;320;320;260;140;320;390;320;320;320;260	51	82	0.22	phrase	
100	Upgrade VIP to view	260	5	390,210,260,140,170,110,110,260,480,590,320,210,210	390;210;260;140;170;110;110;260;480;590;320;210;210	53	100	0.10	phrase	
101	Upgrade VIP to view	260	5	390,210,260,140,170,110,110,260,480,590,320,210,210	390;210;260;140;170;110;110;260;480;590;320;210;210	53	100	0.10	phrase	
102	Upgrade VIP to view	260	4	320,260,260,210,210,210,110,210,260,260,260,260,260	320;260;260;210;210;210;110;210;260;260;260;260;260	57	100	1.60	broad	
103	Upgrade VIP to view	260	4	170,210,170,320,320,260,140,320,390,320,320,320,260	170;210;170;320;320;260;140;320;390;320;320;320;260	51	82	0.22	phrase	
104	Upgrade VIP to view	260	6	170,260,260,210,720,390,210,260,210,170,110,170,170	170;260;260;210;720;390;210;260;210;170;110;170;170	49	100	0.14	phrase	
105	Upgrade VIP to view	260	4	390,320,260,210,170,140,90,260,320,320,390,320,210	390;320;260;210;170;140;90;260;320;320;390;320;210	57	100	0.10	phrase	
106	Upgrade VIP to view	260	4	480,210,170,140,90,110,70,210,260,480,480,210,210	480;210;170;140;90;110;70;210;260;480;480;210;210	57	100	0.08	phrase	
107	Upgrade VIP to view	260	3	320,140,110,50,70,70,30,170,320,880,720,320,320	320;140;110;50;70;70;30;170;320;880;720;320;320	62	100	0.17	broad	
108	Upgrade VIP to view	210	1	260,210,210,170,170,110,110,260,260,320,260,210,170	260;210;210;170;170;110;110;260;260;320;260;210;170	37	0	0.02	broad	
109	Upgrade VIP to view	210	5	10,20,0,1600,1300,10,10,10,10,10,10,10,10	10;20;0;1600;1300;10;10;10;10;10;10;10;10	31	33	0.02	phrase	
110	Upgrade VIP to view	210	1	10,10,10,10,40,70,110,140,260,480,590,480,480	10;10;10;10;40;70;110;140;260;480;590;480;480	37	1	0.02	broad	
111	Upgrade VIP to view	210	3	260,260,260,210,170,170,70,170,210,210,210,260,210	260;260;260;210;170;170;70;170;210;210;210;260;210	59	92	0.35	broad	
112	Upgrade VIP to view	210	5	480,320,210,590,590,210,10,70,90,110,70,50,70	480;320;210;590;590;210;10;70;90;110;70;50;70	30	30	0.21	phrase	
113	Upgrade VIP to view	210	2	50,10,10,20,30,70,50,210,390,720,590,480,390	50;10;10;20;30;70;50;210;390;720;590;480;390	66	100	0.10	exact	
114	Upgrade VIP to view	210	1	260,170,170,140,140,140,90,170,390,390,260,170,260	260;170;170;140;140;140;90;170;390;390;260;170;260	70	100	0.16	broad	
115	Upgrade VIP to view	210	1	390,260,210,260,110,210,140,210,320,320,260,210,210	390;260;210;260;110;210;140;210;320;320;260;210;210	66	87	0.10	broad	
116	Upgrade VIP to view	210	5	210,90,20,20,40,40,40,210,390,590,480,260,260	210;90;20;20;40;40;40;210;390;590;480;260;260	54	100	0.07	phrase	
117	Upgrade VIP to view	210	5	210,90,20,20,40,40,40,210,390,590,480,260,260	210;90;20;20;40;40;40;210;390;590;480;260;260	54	100	0.07	phrase	
118	Upgrade VIP to view	210	8	390,170,110,90,70,50,40,170,320,590,480,210,170	390;170;110;90;70;50;40;170;320;590;480;210;170	41	100	0.09	phrase	
119	Upgrade VIP to view	210	2	170,140,260,260,480,210,140,170,140,110,110,110,140	170;140;260;260;480;210;140;170;140;110;110;110;140	66	100	0.08	broad	
120	Upgrade VIP to view	210	4	170,110,140,170,170,70,140,210,390,390,260,210,260	170;110;140;170;170;70;140;210;390;390;260;210;260	58	100	0.10	phrase	
121	Upgrade VIP to view	210	4	320,140,110,70,30,30,30,110,390,480,390,210,170	320;140;110;70;30;30;30;110;390;480;390;210;170	58	100	0.09	phrase	
122	Upgrade VIP to view	210	4	110,70,40,20,30,70,90,210,260,480,480,320,480	110;70;40;20;30;70;90;210;260;480;480;320;480	58	100	0.15	broad	
123	Upgrade VIP to view	210	5	170,70,70,70,90,90,50,210,480,720,480,170,140	170;70;70;70;90;90;50;210;480;720;480;170;140	54	100	0.09	phrase	
124	Upgrade VIP to view	210	4	140,110,90,50,40,70,50,140,320,590,590,320,390	140;110;90;50;40;70;50;140;320;590;590;320;390	54	89	0.26	phrase	
125	Upgrade VIP to view	210	5	590,210,110,30,10,10,20,30,210,480,390,140,260	590;210;110;30;10;10;20;30;210;480;390;140;260	31	33	0.35	phrase	
126	Upgrade VIP to view	210	6	390,110,40,30,40,40,50,320,480,720,480,90,90	390;110;40;30;40;40;50;320;480;720;480;90;90	50	100	0.10	phrase	
127	Upgrade VIP to view	210	6	140,90,50,50,50,50,30,170,480,720,480,170,170	140;90;50;50;50;50;30;170;480;720;480;170;170	49	99	0.10	phrase	
128	Upgrade VIP to view	210	7	320,170,110,90,50,50,50,140,320,480,480,210,260	320;170;110;90;50;50;50;140;320;480;480;210;260	45	100	0.09	phrase	
129	Upgrade VIP to view	210	7	170,70,40,30,30,30,30,170,390,720,590,260,110	170;70;40;30;30;30;30;170;390;720;590;260;110	45	98	0.08	phrase	
130	Upgrade VIP to view	210	4	140,110,90,50,40,70,50,140,320,590,590,320,390	140;110;90;50;40;70;50;140;320;590;590;320;390	54	89	0.26	phrase	
131	Upgrade VIP to view	210	5	210,90,50,50,40,40,40,320,590,590,390,140,110	210;90;50;50;40;40;40;320;590;590;390;140;110	54	100	0.10	broad	
132	Upgrade VIP to view	210	5	140,140,210,140,140,170,110,260,320,320,260,320,260	140;140;210;140;140;170;110;260;320;320;260;320;260	39	55	0.40	phrase	
133	Upgrade VIP to view	210	5	110,140,260,210,210,140,140,260,390,390,260,210,170	110;140;260;210;210;140;140;260;390;390;260;210;170	50	89	0.15	phrase	
134	Upgrade VIP to view	210	6	320,170,110,90,50,50,50,140,320,480,480,210,260	320;170;110;90;50;50;50;140;320;480;480;210;260	50	100	0.09	phrase	
135	Upgrade VIP to view	170	1	170,170,170,140,170,170,110,140,170,170,170,140,170	170;170;170;140;170;170;110;140;170;170;170;140;170	59	64	0.21	broad	
136	Upgrade VIP to view	170	1	30,30,40,10,30,70,90,140,210,480,480,390,480	30;30;40;10;30;70;90;140;210;480;480;390;480	44	21	0.02	broad	
137	Upgrade VIP to view	170	6	320,170,110,170,40,70,90,70,170,390,210,170,170	320;170;110;170;40;70;90;70;170;390;210;170;170	46	89	0.04	phrase	
138	Upgrade VIP to view	170	2	260,110,50,30,50,30,30,140,320,480,260,140,110	260;110;50;30;50;30;30;140;320;480;260;140;110	67	100	0.08	exact	
139	Upgrade VIP to view	170	2	0,0,0,0,0,0,0,30,260,880,590,390,390	0;0;0;0;0;0;0;30;260;880;590;390;390	67	100	0.09	exact	
140	Upgrade VIP to view	170	2	110,110,140,140,480,210,140,170,140,110,110,110,110	110;110;140;140;480;210;140;170;140;110;110;110;110	67	100	0.21	exact	
141	Upgrade VIP to view	170	2	140,140,210,210,590,170,140,140,140,140,110,90,90	140;140;210;210;590;170;140;140;140;140;110;90;90	67	100	0.16	exact	
142	Upgrade VIP to view	170	1	210,170,210,170,210,170,50,140,170,210,170,210,170	210;170;210;170;210;170;50;140;170;210;170;210;170	60	69	0.28	broad	
143	Upgrade VIP to view	170	1	170,170,110,90,110,170,50,140,210,320,210,170,110	170;170;110;90;110;170;50;140;210;320;210;170;110	63	78	0.12	broad	
144	Upgrade VIP to view	170	6	90,90,140,90,90,70,90,140,390,480,260,170,210	90;90;140;90;90;70;90;140;390;480;260;170;210	45	84	0.16	phrase	
145	Upgrade VIP to view	170	5	260,210,210,140,110,110,90,170,260,390,170,170,140	260;210;210;140;110;110;90;170;260;390;170;170;140	54	100	0.08	phrase	
146	Upgrade VIP to view	170	4	210,110,140,90,90,70,90,170,320,390,320,320,210	210;110;140;90;90;70;90;170;320;390;320;320;210	58	100	0.36	phrase	
147	Upgrade VIP to view	170	6	90,90,140,90,90,70,90,140,390,480,260,170,210	90;90;140;90;90;70;90;140;390;480;260;170;210	45	84	0.16	phrase	
148	Upgrade VIP to view	170	5	320,170,140,140,110,70,90,210,320,320,210,110,140	320;170;140;140;110;70;90;210;320;320;210;110;140	54	100	0.08	phrase	
149	Upgrade VIP to view	170	7	110,140,170,170,480,210,170,170,110,110,70,90,140	110;140;170;170;480;210;170;170;110;110;70;90;140	46	100	0.17	phrase	
150	Upgrade VIP to view	170	3	40,30,30,40,50,70,70,170,320,480,390,320,390	40;30;30;40;50;70;70;170;320;480;390;320;390	35	18	0.35	broad	
151	Upgrade VIP to view	170	7	70,70,70,30,170,140,110,260,320,320,210,210,210	70;70;70;30;170;140;110;260;320;320;210;210;210	14	5	0.21	phrase	
152	Upgrade VIP to view	170	3	210,140,140,140,110,140,140,170,260,210,260,210,260	210;140;140;140;110;140;140;170;260;210;260;210;260	62	100	0.12	phrase	
153	Upgrade VIP to view	170	2	210,170,110,70,90,50,90,140,260,260,210,260,210	210;170;110;70;90;50;90;140;260;260;210;260;210	34	3	0.69	phrase	
154	Upgrade VIP to view	170	5	260,90,70,70,70,70,50,210,390,480,320,90,110	260;90;70;70;70;70;50;210;390;480;320;90;110	54	100	0.10	phrase	
155	Upgrade VIP to view	170	4	210,140,110,70,110,90,70,170,260,320,260,140,140	210;140;110;70;110;90;70;170;260;320;260;140;140	58	100	0.10	phrase	
156	Upgrade VIP to view	170	7	70,40,40,40,50,50,50,210,320,480,480,260,210	70;40;40;40;50;50;50;210;320;480;480;260;210	46	100	0.10	phrase	
157	Upgrade VIP to view	140	1	40,20,40,20,30,50,70,90,210,320,320,210,260	40;20;40;20;30;50;70;90;210;320;320;210;260	43	15	0.02	broad	
158	Upgrade VIP to view	140	1	30,10,20,20,20,50,70,110,170,320,390,390,320	30;10;20;20;20;50;70;110;170;320;390;390;320	39	3	0.02	broad	
159	Upgrade VIP to view	140	5	260,170,90,20,30,30,20,90,260,260,260,170,260	260;170;90;20;30;30;20;90;260;260;260;170;260	54	100	0.15	phrase	
